season,date,home,away,gh,ga,match_id
2020-2021,2021-06-10,Coburg 2000,HBW Balingen-Weilstetten,27,27,jqADroDN
2020-2021,2021-06-12,Minden,Kiel,30,35,fHG4p7rB
2020-2021,2021-06-13,Coburg 2000,Lemgo,23,27,2RREi9Xm
2020-2021,2021-06-13,Rhein-Neckar,MT Melsungen,31,22,2P8xsYyJ
2020-2021,2021-06-13,Hannover-Burgdorf,Erlangen,27,26,OY9YsEMC
2020-2021,2021-06-13,Goppingen,SC Magdeburg,21,29,niDdnTDb
2020-2021,2021-06-13,Fuchse Berlin,Nordhorn-Lingen,29,25,E1LqkVTu
2020-2021,2021-06-16,Bergischer,Rhein-Neckar,26,28,KYIVb6c4
2020-2021,2021-06-16,Leipzig,Coburg 2000,35,29,6VERanrb
2020-2021,2021-06-16,Nordhorn-Lingen,Stuttgart,26,29,ANBrd4sN
2020-2021,2021-06-16,HBW Balingen-Weilstetten,HSG Wetzlar,30,28,tl7vcpSG
2020-2021,2021-06-16,SC Magdeburg,Ludwigshafen,37,29,YHGJ18Do
2020-2021,2021-06-17,Erlangen,Lemgo,31,35,2c8zbQCA
2020-2021,2021-06-17,Kiel,Goppingen,31,23,p69Hs5ST
2020-2021,2021-06-17,Flensburg-H.,Fuchse Berlin,29,33,nFeqwPzo
2020-2021,2021-06-17,MT Melsungen,Hannover-Burgdorf,20,28,C8FN0SSi
2020-2021,2021-06-19,Stuttgart,Erlangen,25,27,fiXDBqsA
2020-2021,2021-06-19,Rhein-Neckar,SC Magdeburg,22,27,6VjJk2Kj
2020-2021,2021-06-19,HSG Wetzlar,Leipzig,29,26,bPw5D5Cc
2020-2021,2021-06-19,Fuchse Berlin,HBW Balingen-Weilstetten,36,30,KYv1Eoci
2020-2021,2021-06-19,Coburg 2000,Bergischer,24,27,nkCh41Zq
2020-2021,2021-06-20,Ludwigshafen,Kiel,20,29,2HzM9NBM
2020-2021,2021-06-20,Hannover-Burgdorf,Essen,30,26,femFjr5p
2020-2021,2021-06-20,Minden,Goppingen,24,23,lEWHA3dG
2020-2021,2021-06-20,Nordhorn-Lingen,Flensburg-H.,28,38,ptQQ8sRS
2020-2021,2021-06-20,Lemgo,MT Melsungen,28,30,G0Y9CPR3
2020-2021,2021-06-23,Leipzig,Nordhorn-Lingen,24,21,lEhmQrd3
2020-2021,2021-06-23,HBW Balingen-Weilstetten,Hannover-Burgdorf,30,26,zZWVHK3q
2020-2021,2021-06-23,Erlangen,Flensburg-H.,26,27,v3o0NttM
2020-2021,2021-06-23,Bergischer,Stuttgart,30,31,MRjeOMQF
2020-2021,2021-06-23,MT Melsungen,Fuchse Berlin,32,35,zBlqROtc
2020-2021,2021-06-24,SC Magdeburg,HSG Wetzlar,27,27,Y5A02u4d
2020-2021,2021-06-24,Minden,Ludwigshafen,24,24,Igp4M0eS
2020-2021,2021-06-24,Kiel,Lemgo,33,23,fFBd3Llj
2020-2021,2021-06-24,Goppingen,Coburg 2000,37,29,ryhiP2B9
2020-2021,2021-06-24,Essen,Rhein-Neckar,23,33,YJkZGvJk
2020-2021,2021-06-27,Coburg 2000,Essen,31,32,8d2BGVO6
2020-2021,2021-06-27,Stuttgart,MT Melsungen,26,26,A3m6JXvl
2020-2021,2021-06-27,Rhein-Neckar,Kiel,25,25,rkXPw2Q2
2020-2021,2021-06-27,Nordhorn-Lingen,Erlangen,30,31,U537HB90
2020-2021,2021-06-27,Lemgo,SC Magdeburg,32,27,Gtl2KDPs
2020-2021,2021-06-27,HSG Wetzlar,Minden,28,25,44LYyteF
2020-2021,2021-06-27,Hannover-Burgdorf,Leipzig,31,28,fZwrFIm2
2020-2021,2021-06-27,Fuchse Berlin,Bergischer,29,27,MuWTxMu9
2020-2021,2021-06-27,Flensburg-H.,HBW Balingen-Weilstetten,38,26,GruvGbYe
2020-2021,2021-06-27,Ludwigshafen,Goppingen,25,27,lfnAIiff
2021-2022,2021-09-08,Minden,Flensburg-H.,18,31,4YKFO7o6
2021-2022,2021-09-08,Lemgo,MT Melsungen,26,26,IHM7QTGg
2021-2022,2021-09-08,Kiel,HBW Balingen-Weilstetten,33,24,zgX2R91m
2021-2022,2021-09-08,Hamburg,Goppingen,27,28,rPJJNR0C
2021-2022,2021-09-08,Erlangen,Leipzig,19,15,d8LBPmWa
2021-2022,2021-09-09,Fuchse Berlin,HSG Wetzlar,29,24,hf1Apk8P
2021-2022,2021-09-09,Hannover-Burgdorf,Rhein-Neckar,24,28,viDSL5VO
2021-2022,2021-09-09,N-Lubbecke,Bergischer,20,24,f3mxt9Gt
2021-2022,2021-09-09,SC Magdeburg,Stuttgart,33,29,Qm9OMoGI
2021-2022,2021-09-11,MT Melsungen,Kiel,26,33,phtkw70a
2021-2022,2021-09-11,HBW Balingen-Weilstetten,Minden,27,21,jVtovmog
2021-2022,2021-09-11,Flensburg-H.,Erlangen,27,27,CvrsuTVn
2021-2022,2021-09-12,Rhein-Neckar,SC Magdeburg,25,28,rwahxRF5
2021-2022,2021-09-12,Leipzig,Fuchse Berlin,25,30,Q1lcyoVB
2021-2022,2021-09-12,HSG Wetzlar,Lemgo,27,25,4hm1z5pI
2021-2022,2021-09-12,Goppingen,N-Lubbecke,27,24,W0GUIxFp
2021-2022,2021-09-12,Bergischer,Hamburg,31,26,AiFYHdUj
2021-2022,2021-09-16,Stuttgart,Goppingen,27,34,vPCQxb6G
2021-2022,2021-09-16,SC Magdeburg,HSG Wetzlar,30,26,QacLu0Mc
2021-2022,2021-09-16,MT Melsungen,Fuchse Berlin,25,33,KMdPvKy4
2021-2022,2021-09-16,Lemgo,Leipzig,26,27,bDeTwviA
2021-2022,2021-09-18,Erlangen,Minden,30,22,IFBUyILM
2021-2022,2021-09-19,Hannover-Burgdorf,Bergischer,28,20,lb20Weqp
2021-2022,2021-09-19,Hamburg,Rhein-Neckar,32,27,ADj9UZDd
2021-2022,2021-09-19,N-Lubbecke,HBW Balingen-Weilstetten,33,27,WMi5VFbj
2021-2022,2021-09-19,Kiel,Flensburg-H.,33,23,CxBYzxyT
2021-2022,2021-09-23,Minden,Fuchse Berlin,25,31,KrYaicL9
2021-2022,2021-09-23,Leipzig,Hamburg,27,27,bTqigJjc
2021-2022,2021-09-23,HBW Balingen-Weilstetten,SC Magdeburg,17,28,WIy4jHzG
2021-2022,2021-09-23,Bergischer,Stuttgart,26,25,xKrehw63
2021-2022,2021-09-25,Erlangen,Kiel,20,30,Quy8kyjM
2021-2022,2021-09-26,Rhein-Neckar,Goppingen,37,32,4WZBle5S
2021-2022,2021-09-26,MT Melsungen,N-Lubbecke,23,22,pQHvpFDq
2021-2022,2021-09-26,HSG Wetzlar,Hannover-Burgdorf,38,16,OGGrqZSk
2021-2022,2021-09-26,SC Magdeburg,Leipzig,30,28,nXdrm3oL
2021-2022,2021-09-26,Stuttgart,Hamburg,26,34,Cz8gK7CA
2021-2022,2021-09-30,MT Melsungen,SC Magdeburg,24,27,d6WRvug1
2021-2022,2021-09-30,Lemgo,HBW Balingen-Weilstetten,38,28,WtKjsDc2
2021-2022,2021-09-30,Hamburg,HSG Wetzlar,31,23,E5qykPG8
2021-2022,2021-09-30,Goppingen,Bergischer,27,24,zFpXk512
2021-2022,2021-10-02,N-Lubbecke,Flensburg-H.,17,34,8tbvlqWE
2021-2022,2021-10-03,Stuttgart,Rhein-Neckar,35,30,vVyNuLwe
2021-2022,2021-10-03,Kiel,Minden,34,25,UenmnN0R
2021-2022,2021-10-03,Hannover-Burgdorf,MT Melsungen,23,25,6HwFss9r
2021-2022,2021-10-03,Fuchse Berlin,Erlangen,35,30,0vwJt1Ol
2021-2022,2021-10-09,Minden,N-Lubbecke,18,23,hY1dfKhl
2021-2022,2021-10-09,HSG Wetzlar,Goppingen,28,28,raCM0MFK
2021-2022,2021-10-09,HBW Balingen-Weilstetten,Hannover-Burgdorf,28,26,zci1gv8f
2021-2022,2021-10-09,Erlangen,Lemgo,24,28,Es3he0wr
2021-2022,2021-10-10,Leipzig,Stuttgart,33,24,0zNH120E
2021-2022,2021-10-10,Hamburg,Flensburg-H.,27,33,zcVVwa87
2021-2022,2021-10-10,Fuchse Berlin,Kiel,28,28,l0JD2ro8
2021-2022,2021-10-10,Bergischer,Rhein-Neckar,25,25,MkBQatVQ
2021-2022,2021-10-14,N-Lubbecke,Erlangen,20,21,lKFUfiqa
2021-2022,2021-10-14,Hannover-Burgdorf,Fuchse Berlin,22,25,rNf9iIx7
2021-2022,2021-10-14,Goppingen,MT Melsungen,26,26,bVMHcgat
2021-2022,2021-10-17,Hamburg,Minden,31,27,SAEYgBb5
2021-2022,2021-10-17,Lemgo,Kiel,21,21,M5alFLUD
2021-2022,2021-10-17,SC Magdeburg,Flensburg-H.,33,28,l0e5hbN0
2021-2022,2021-10-17,Stuttgart,HBW Balingen-Weilstetten,27,26,hhMLdDEn
2021-2022,2021-10-21,MT Melsungen,Bergischer,26,24,GpQljTcU
2021-2022,2021-10-21,Leipzig,Goppingen,29,20,h61fBCTu
2021-2022,2021-10-21,HBW Balingen-Weilstetten,Hamburg,23,28,MogB7US4
2021-2022,2021-10-21,Erlangen,Hannover-Burgdorf,31,35,lYf39jbh
2021-2022,2021-10-24,Minden,Lemgo,29,32,SOg78ADb
2021-2022,2021-10-24,Kiel,SC Magdeburg,27,29,dpJxgVDB
2021-2022,2021-10-24,HSG Wetzlar,Rhein-Neckar,29,30,Wd0bAWrn
2021-2022,2021-10-24,Fuchse Berlin,N-Lubbecke,30,22,Ia7oi9rO
2021-2022,2021-10-24,Flensburg-H.,Stuttgart,30,29,zyIthkTH
2021-2022,2021-10-28,Rhein-Neckar,HBW Balingen-Weilstetten,34,23,8rBxOkDo
2021-2022,2021-10-28,Hannover-Burgdorf,Minden,30,29,6wXga6zo
2021-2022,2021-10-30,N-Lubbecke,Kiel,29,25,IDnK58cH
2021-2022,2021-10-30,Bergischer,Leipzig,30,20,zkcF6lrB
2021-2022,2021-10-31,Goppingen,Flensburg-H.,30,30,G8EpMTsb
2021-2022,2021-10-31,HSG Wetzlar,Stuttgart,35,34,faDlLmc4
2021-2022,2021-10-31,Lemgo,Fuchse Berlin,27,28,MoFtN9Si
2021-2022,2021-10-31,SC Magdeburg,Erlangen,28,27,4UpS3nST
2021-2022,2021-11-10,Rhein-Neckar,Lemgo,30,33,pl61IosN
2021-2022,2021-11-10,MT Melsungen,Minden,25,29,dO95H5dT
2021-2022,2021-11-10,HSG Wetzlar,N-Lubbecke,29,25,tdoxCqKj
2021-2022,2021-11-10,Goppingen,SC Magdeburg,24,25,UBvKzTdi
2021-2022,2021-11-10,Flensburg-H.,Fuchse Berlin,28,23,jR6cJRRG
2021-2022,2021-11-11,HBW Balingen-Weilstetten,Erlangen,23,25,jRSSY6R3
2021-2022,2021-11-11,Leipzig,Hannover-Burgdorf,32,25,25nYCP4p
2021-2022,2021-11-11,Kiel,Bergischer,24,23,82wOZnCc
2021-2022,2021-11-13,Fuchse Berlin,SC Magdeburg,29,33,xrVvW4BM
2021-2022,2021-11-13,MT Melsungen,Stuttgart,29,23,441yVOQS
2021-2022,2021-11-13,Minden,Goppingen,30,33,EwiBOM3d
2021-2022,2021-11-13,Flensburg-H.,Rhein-Neckar,31,26,biWzXpdG
2021-2022,2021-11-13,N-Lubbecke,Lemgo,26,28,fZTcnQe3
2021-2022,2021-11-14,Erlangen,Hamburg,23,22,0zm7P2lj
2021-2022,2021-11-14,HBW Balingen-Weilstetten,Bergischer,30,28,GrVgm6tc
2021-2022,2021-11-14,Leipzig,HSG Wetzlar,30,26,6Dm3QrZq
2021-2022,2021-11-14,Kiel,Hannover-Burgdorf,31,24,4UWWXQtA
2021-2022,2021-11-18,Rhein-Neckar,Minden,31,27,rcozTyer
2021-2022,2021-11-18,HSG Wetzlar,HBW Balingen-Weilstetten,33,21,lflrRFPf
2021-2022,2021-11-18,Bergischer,Erlangen,25,25,OCteOD9D
2021-2022,2021-11-20,Hamburg,Lemgo,28,28,xGUxmcnE
2021-2022,2021-11-21,Stuttgart,Fuchse Berlin,32,32,pMsiPgf7
2021-2022,2021-11-21,Leipzig,MT Melsungen,22,26,fXlvSeAl
2021-2022,2021-11-21,Goppingen,Kiel,26,38,SpmnQZv1
2021-2022,2021-11-23,Rhein-Neckar,Leipzig,28,28,MDgDjxhD
2021-2022,2021-11-23,Bergischer,HSG Wetzlar,17,27,6eQPeXTh
2021-2022,2021-11-25,MT Melsungen,Rhein-Neckar,25,24,rH9HuFvl
2021-2022,2021-11-25,Erlangen,Stuttgart,27,32,4WcQwg90
2021-2022,2021-11-25,HBW Balingen-Weilstetten,Goppingen,26,30,Cd1YyXwD
2021-2022,2021-11-25,N-Lubbecke,Hamburg,29,27,jm0xyigJ
2021-2022,2021-11-28,Hamburg,MT Melsungen,26,25,d4oO4SCN
2021-2022,2021-11-28,Minden,SC Magdeburg,26,31,IZ1UxDO6
2021-2022,2021-11-28,Lemgo,Hannover-Burgdorf,31,33,M78LvZgf
2021-2022,2021-11-28,Kiel,Leipzig,32,28,jJYtnH1K
2021-2022,2021-11-28,Fuchse Berlin,Bergischer,32,17,ziADtePs
2021-2022,2021-11-28,Flensburg-H.,HSG Wetzlar,27,25,YsOooyHQ
2021-2022,2021-12-02,Stuttgart,Minden,35,31,CAt7jWh6
2021-2022,2021-12-02,Leipzig,HBW Balingen-Weilstetten,31,24,MLmfgY8m
2021-2022,2021-12-02,Erlangen,HSG Wetzlar,24,27,G4OY4V7a
2021-2022,2021-12-04,Bergischer,Flensburg-H.,24,29,j1uBkj8C
2021-2022,2021-12-05,Hannover-Burgdorf,N-Lubbecke,22,21,6erPbfoQ
2021-2022,2021-12-05,Hamburg,Kiel,23,32,YPUFlANI
2021-2022,2021-12-05,HSG Wetzlar,MT Melsungen,31,28,4pwahhOg
2021-2022,2021-12-05,Goppingen,Erlangen,34,25,ryx3iCw0
2021-2022,2021-12-05,SC Magdeburg,Lemgo,29,25,S4qLazWJ
2021-2022,2021-12-09,Hannover-Burgdorf,SC Magdeburg,27,31,2u9T7XNt
2021-2022,2021-12-09,N-Lubbecke,Stuttgart,27,23,jNGo2TiI
2021-2022,2021-12-09,Minden,Bergischer,25,21,U7Sx4kN5
2021-2022,2021-12-09,HBW Balingen-Weilstetten,MT Melsungen,25,34,CWHs39xC
2021-2022,2021-12-12,Flensburg-H.,Leipzig,31,21,0WM1CDFP
2021-2022,2021-12-12,Kiel,Rhein-Neckar,32,29,nTYJmUxP
2021-2022,2021-12-12,Fuchse Berlin,Hamburg,34,30,riQQ6iwm
2021-2022,2021-12-12,Stuttgart,Hannover-Burgdorf,22,34,CdgHtt7i
2021-2022,2021-12-12,Lemgo,Goppingen,34,26,MsPU5Bhg
2021-2022,2021-12-16,Flensburg-H.,Lemgo,27,19,IwGnrgrd
2021-2022,2021-12-18,Stuttgart,Lemgo,37,40,ARZ92c3b
2021-2022,2021-12-18,Rhein-Neckar,N-Lubbecke,35,25,KdLk1m7O
2021-2022,2021-12-18,Hamburg,Hannover-Burgdorf,25,23,0GSMaemH
2021-2022,2021-12-18,Bergischer,SC Magdeburg,24,27,S2UE1HI4
2021-2022,2021-12-19,HBW Balingen-Weilstetten,Flensburg-H.,23,23,6gTI0yYA
2021-2022,2021-12-19,Goppingen,Fuchse Berlin,24,31,Wzy63wlh
2021-2022,2021-12-19,Leipzig,Minden,25,26,QwYc5aJu
2021-2022,2021-12-19,MT Melsungen,Erlangen,30,28,bmKg07MU
2021-2022,2021-12-19,HSG Wetzlar,Kiel,29,27,xEy24JYo
2021-2022,2021-12-22,Minden,HSG Wetzlar,23,24,G4vc18OL
2021-2022,2021-12-22,Hannover-Burgdorf,Goppingen,32,34,nPnt5jPd
2021-2022,2021-12-22,Flensburg-H.,MT Melsungen,27,24,fHpesmXk
2021-2022,2021-12-22,Erlangen,Rhein-Neckar,36,26,Msug2l9F
2021-2022,2021-12-22,Kiel,Stuttgart,35,31,ChejrTHq
2021-2022,2021-12-23,SC Magdeburg,Hamburg,34,26,Y7qat7nd
2021-2022,2021-12-23,N-Lubbecke,Leipzig,23,28,few10SwS
2021-2022,2021-12-23,Lemgo,Bergischer,27,27,8vyk3Ug9
2021-2022,2021-12-23,Fuchse Berlin,HBW Balingen-Weilstetten,26,26,QFop4Av3
2021-2022,2021-12-26,Minden,HBW Balingen-Weilstetten,23,23,0YaSGmO8
2021-2022,2021-12-26,Kiel,Lemgo,32,19,zkLTennq
2021-2022,2021-12-26,Goppingen,Stuttgart,34,32,Ms1OHT82
2021-2022,2021-12-26,Flensburg-H.,SC Magdeburg,30,27,EuKXf61k
2021-2022,2021-12-27,Rhein-Neckar,Hannover-Burgdorf,25,31,82JyfQGe
2021-2022,2021-12-27,N-Lubbecke,HSG Wetzlar,25,28,U74WF7wF
2021-2022,2021-12-27,Hamburg,Bergischer,26,27,8b3zFRhL
2021-2022,2021-12-27,Fuchse Berlin,MT Melsungen,28,29,KxNugpW1
2021-2022,2021-12-28,Leipzig,Erlangen,24,16,jNhuEo8R
2021-2022,2022-02-09,SC Magdeburg,Minden,28,19,8KvBR4xR
2021-2022,2022-02-09,HBW Balingen-Weilstetten,Leipzig,25,29,UTu7SpNK
2021-2022,2022-02-09,Bergischer,Goppingen,33,27,Y1nbU6h8
2021-2022,2022-02-10,Stuttgart,Kiel,29,42,KbbG5NF7
2021-2022,2022-02-10,Lemgo,N-Lubbecke,27,22,t8aC6301
2021-2022,2022-02-10,HSG Wetzlar,Flensburg-H.,29,29,0drF7qoe
2021-2022,2022-02-10,Fuchse Berlin,Rhein-Neckar,23,20,M5qB8PVl
2021-2022,2022-02-12,Flensburg-H.,Hannover-Burgdorf,30,20,v3VtMr0l
2021-2022,2022-02-12,N-Lubbecke,SC Magdeburg,20,30,8YJqt4iK
2021-2022,2022-02-12,MT Melsungen,HBW Balingen-Weilstetten,28,21,KCwkKMU0
2021-2022,2022-02-12,Rhein-Neckar,Erlangen,26,26,MRKoL2Ff
2021-2022,2022-02-13,Minden,Leipzig,23,23,UsLuspxE
2021-2022,2022-02-13,Hamburg,Fuchse Berlin,27,30,2eJmuO6Q
2021-2022,2022-02-13,Goppingen,HSG Wetzlar,33,26,hQycI0aD
2021-2022,2022-02-13,Bergischer,Kiel,24,26,0CWxNOpr
2021-2022,2022-02-17,SC Magdeburg,Goppingen,37,26,vHAFzrFs
2021-2022,2022-02-17,Minden,MT Melsungen,22,26,fi3nwyyt
2021-2022,2022-02-20,Bergischer,Lemgo,32,27,UBnyWJTC
2021-2022,2022-02-20,HSG Wetzlar,Hamburg,26,25,nmcWWaE6
2021-2022,2022-02-20,Hannover-Burgdorf,Kiel,26,29,Mu0KZ1Um
2021-2022,2022-02-20,Fuchse Berlin,Stuttgart,29,22,0WbOYLqf
2021-2022,2022-02-20,Erlangen,Flensburg-H.,26,30,rFjuVwqJ
2021-2022,2022-02-24,MT Melsungen,Leipzig,22,22,z7b7YCkB
2021-2022,2022-02-26,Stuttgart,Bergischer,27,26,QeiKVAZT
2021-2022,2022-02-27,Kiel,Erlangen,34,24,jJdeyF5h
2021-2022,2022-02-27,Rhein-Neckar,HSG Wetzlar,27,30,OWf3Zhz5
2021-2022,2022-02-27,N-Lubbecke,Fuchse Berlin,26,32,S4wnRUso
2021-2022,2022-02-27,Lemgo,SC Magdeburg,25,44,IVmCXW4H
2021-2022,2022-02-27,Flensburg-H.,Minden,31,31,U9eazZKb
2021-2022,2022-03-03,Stuttgart,HSG Wetzlar,26,26,G0lopAlN
2021-2022,2022-03-03,MT Melsungen,Hamburg,26,22,rmjwnWJA
2021-2022,2022-03-03,Minden,Rhein-Neckar,31,33,zoVHvlCp
2021-2022,2022-03-03,Hannover-Burgdorf,Lemgo,27,31,xzLxlhkb
2021-2022,2022-03-06,SC Magdeburg,Bergischer,38,25,rDLYlYZi
2021-2022,2022-03-06,Leipzig,Flensburg-H.,25,24,MwksojZG
2021-2022,2022-03-06,HBW Balingen-Weilstetten,Kiel,25,31,EyULw8Rj
2021-2022,2022-03-06,Erlangen,N-Lubbecke,29,22,U3hkqU3T
2021-2022,2022-03-10,Bergischer,Hannover-Burgdorf,25,23,QV7TdmYS
2021-2022,2022-03-10,N-Lubbecke,Minden,19,21,Svfeh7tp
2021-2022,2022-03-10,Hamburg,Erlangen,30,29,M1gaiRej
2021-2022,2022-03-12,Goppingen,Leipzig,29,28,U3EKb93G
2021-2022,2022-03-13,Stuttgart,SC Magdeburg,27,30,8fDOcTIM
2021-2022,2022-03-13,Rhein-Neckar,MT Melsungen,29,26,O6BC0VY3
2021-2022,2022-03-13,Lemgo,HSG Wetzlar,29,27,zsFGaklA
2021-2022,2022-03-13,Kiel,Fuchse Berlin,27,31,2iN32i4i
2021-2022,2022-03-13,Flensburg-H.,HBW Balingen-Weilstetten,35,21,trM71BJc
2021-2022,2022-03-24,Fuchse Berlin,Lemgo,29,24,G0zjEl33
2021-2022,2022-03-24,HBW Balingen-Weilstetten,Rhein-Neckar,22,31,fFDx5pQk
2021-2022,2022-03-24,Hannover-Burgdorf,Stuttgart,33,23,xAynFUmc
2021-2022,2022-03-24,Erlangen,Goppingen,23,25,bqS6A62S
2021-2022,2022-03-26,SC Magdeburg,Kiel,25,30,z5c3joBd
2021-2022,2022-03-26,HSG Wetzlar,Bergischer,23,27,ptO2BnmM
2021-2022,2022-03-27,Minden,Hamburg,23,27,GOEY5QAq
2021-2022,2022-03-27,MT Melsungen,Flensburg-H.,26,32,OQZgD8I9
2021-2022,2022-03-27,Leipzig,N-Lubbecke,25,21,2HYcCSXF
2021-2022,2022-03-27,Rhein-Neckar,Fuchse Berlin,24,29,OzVjfEgs
2021-2022,2022-03-31,Bergischer,Fuchse Berlin,23,28,jgV87wnl
2021-2022,2022-03-31,SC Magdeburg,Hannover-Burgdorf,30,22,js7o3Of2
2021-2022,2022-03-31,Stuttgart,Erlangen,34,29,MJQ48JWs
2021-2022,2022-04-02,Rhein-Neckar,Flensburg-H.,29,29,4peTR7X2
2021-2022,2022-04-03,N-Lubbecke,MT Melsungen,23,31,UqUC6c1f
2021-2022,2022-04-03,Lemgo,Minden,20,32,2VDWQRn9
2021-2022,2022-04-03,Hamburg,Leipzig,24,33,C8JH5HG0
2021-2022,2022-04-03,Goppingen,HBW Balingen-Weilstetten,27,28,pf3yQo2F
2021-2022,2022-04-07,Rhein-Neckar,Hamburg,28,34,KYMP3eoD
2021-2022,2022-04-07,MT Melsungen,Goppingen,24,26,fmPE3w1J
2021-2022,2022-04-07,Leipzig,Lemgo,29,25,YwOI2cGP
2021-2022,2022-04-07,HBW Balingen-Weilstetten,Stuttgart,25,28,Qy3ceF8a
2021-2022,2022-04-07,Erlangen,Bergischer,30,23,4MElcyvm
2021-2022,2022-04-10,Flensburg-H.,N-Lubbecke,30,19,QBNL4yW6
2021-2022,2022-04-10,Fuchse Berlin,Hannover-Burgdorf,32,32,bPLT2F0J
2021-2022,2022-04-10,HSG Wetzlar,SC Magdeburg,26,29,jJApbHOt
2021-2022,2022-04-10,Hamburg,HBW Balingen-Weilstetten,29,34,U9HUkEKo
2021-2022,2022-04-10,Minden,Kiel,27,30,no4gdegg
2021-2022,2022-04-21,Hannover-Burgdorf,Hamburg,29,27,Srp795Gr
2021-2022,2022-04-21,HBW Balingen-Weilstetten,N-Lubbecke,26,21,Ys2jxejn
2021-2022,2022-04-21,Rhein-Neckar,Stuttgart,28,23,dIKaYl6A
2021-2022,2022-04-24,Goppingen,Hannover-Burgdorf,31,25,dMnGWjKN
2021-2022,2022-04-28,Erlangen,MT Melsungen,32,31,n5j2TQ7E
2021-2022,2022-04-28,Leipzig,Rhein-Neckar,28,31,8dbSXua0
2021-2022,2022-04-28,Kiel,HSG Wetzlar,27,24,Cj8s44ud
2021-2022,2022-04-28,Goppingen,Minden,33,22,vuTW9ENh
2021-2022,2022-04-28,Bergischer,HBW Balingen-Weilstetten,29,21,fB71fZN5
2021-2022,2022-04-30,Lemgo,Erlangen,27,33,0lUSAf8n
2021-2022,2022-04-30,Flensburg-H.,Hamburg,33,23,GQeAhDhI
2021-2022,2022-05-01,SC Magdeburg,Fuchse Berlin,28,27,t4mdGGpP
2021-2022,2022-05-01,Hannover-Burgdorf,HSG Wetzlar,22,28,rDZNBzgt
2021-2022,2022-05-01,Kiel,MT Melsungen,27,25,S0aEiX7O
2021-2022,2022-05-01,Stuttgart,Leipzig,29,25,Y1Sz9Yxa
2021-2022,2022-05-01,N-Lubbecke,Rhein-Neckar,22,29,Y165ggwC
2021-2022,2022-05-05,MT Melsungen,Hannover-Burgdorf,22,29,8KKm6WMH
2021-2022,2022-05-05,Leipzig,Kiel,20,31,2eZj5jxO
2021-2022,2022-05-05,Flensburg-H.,Goppingen,26,21,n5Wv8hh5
2021-2022,2022-05-07,HSG Wetzlar,Fuchse Berlin,28,30,tnYf4AiU
2021-2022,2022-05-07,Erlangen,SC Magdeburg,36,38,69a1PgNu
2021-2022,2022-05-08,Hannover-Burgdorf,Flensburg-H.,26,31,2aX5p4QF
2021-2022,2022-05-08,Rhein-Neckar,Bergischer,24,22,UTLq7C7B
2021-2022,2022-05-08,Minden,Stuttgart,25,26,KC35ODxn
2021-2022,2022-05-08,Hamburg,N-Lubbecke,32,24,hQ1DMi7b
2021-2022,2022-05-08,HBW Balingen-Weilstetten,Lemgo,29,32,EZ29NXih
2021-2022,2022-05-12,Lemgo,Rhein-Neckar,24,23,vNZ0DmUp
2021-2022,2022-05-12,HSG Wetzlar,Erlangen,26,30,xEmZHTLT
2021-2022,2022-05-12,Hannover-Burgdorf,HBW Balingen-Weilstetten,31,27,rFfQJkiH
2021-2022,2022-05-12,Goppingen,Hamburg,24,28,SxTrxX6o
2021-2022,2022-05-14,Bergischer,Minden,25,26,lhHizByb
2021-2022,2022-05-14,Fuchse Berlin,Leipzig,34,25,fkbUI96N
2021-2022,2022-05-15,Lemgo,Stuttgart,33,30,EZxgJtp7
2021-2022,2022-05-15,SC Magdeburg,MT Melsungen,33,26,lheMKVyB
2021-2022,2022-05-19,SC Magdeburg,N-Lubbecke,38,20,O8Y1opB9
2021-2022,2022-05-19,Fuchse Berlin,Goppingen,37,31,GQJtmC44
2021-2022,2022-05-19,MT Melsungen,Lemgo,18,23,z9J3X8LG
2021-2022,2022-05-19,Minden,Hannover-Burgdorf,26,26,n7cYDKKe
2021-2022,2022-05-19,HBW Balingen-Weilstetten,HSG Wetzlar,24,28,0A1xDvz2
2021-2022,2022-05-22,N-Lubbecke,Goppingen,22,27,2FuLyOC2
2021-2022,2022-05-22,Leipzig,Bergischer,22,26,EgaQFtjq
2021-2022,2022-05-22,Hamburg,SC Magdeburg,22,32,t6vPzrS8
2021-2022,2022-05-22,Flensburg-H.,Kiel,27,28,2eLeZUj4
2021-2022,2022-05-22,Erlangen,Fuchse Berlin,25,31,hpbUE05k
2021-2022,2022-05-26,Kiel,N-Lubbecke,32,23,A1dILBM4
2021-2022,2022-05-26,Stuttgart,Flensburg-H.,26,28,6TRnyiMi
2021-2022,2022-06-02,Goppingen,Rhein-Neckar,30,28,rmWFQc41
2021-2022,2022-06-02,Stuttgart,N-Lubbecke,29,31,MwVJPHJ7
2021-2022,2022-06-02,SC Magdeburg,HBW Balingen-Weilstetten,31,26,lWsXYLdL
2021-2022,2022-06-04,HSG Wetzlar,Leipzig,24,27,nLx7SJZl
2021-2022,2022-06-04,Bergischer,MT Melsungen,24,31,zsJ1l1d8
2021-2022,2022-06-05,Lemgo,Flensburg-H.,30,25,QByBRwke
2021-2022,2022-06-05,Kiel,Hamburg,29,22,AuqTZ1sF
2021-2022,2022-06-05,Hannover-Burgdorf,Erlangen,28,27,WfXyYuCR
2021-2022,2022-06-05,Fuchse Berlin,Minden,35,25,hbw3TaKr
